Date,Open,High,Low,Close
29/5/2020,9422.2,9598.85,9376.9,9580.3
1/6/2020,9726.85,9931.6,9706.95,9826.15
2/6/2020,9880.85,9995.6,9824.05,9979.1
3/6/2020,10108.3,10176.2,10035.55,10061.55
4/6/2020,10054.25,10123.85,9944.25,10029.1
5/6/2020,10093.8,10177.8,10040.75,10142.15
8/6/2020,10326.75,10328.5,10120.25,10167.45
9/6/2020,10181.15,10291.15,10021.45,10046.65
10/6/2020,10072.6,10148.75,10036.85,10116.15
11/6/2020,10094.1,10112.05,9885.05,9902
12/6/2020,9544.95,9996.05,9544.35,9972.9
15/6/2020,9919.35,9943.35,9726.35,9813.7
16/6/2020,10014.8,10046.15,9728.5,9914
17/6/2020,9876.7,10003.6,9833.8,9881.15
18/6/2020,9863.25,10111.2,9845.05,10091.65
19/6/2020,10119,10272.4,10072.65,10244.4
22/6/2020,10318.75,10393.65,10277.6,10311.2
23/6/2020,10347.95,10484.7,10301.75,10471
24/6/2020,10529.25,10553.15,10281.95,10305.3
25/6/2020,10235.55,10361.8,10194.5,10288.9
26/6/2020,10378.9,10409.85,10311.25,10383
29/6/2020,10311.95,10337.95,10223.6,10312.4
30/6/2020,10382.6,10401.05,10267.35,10302.1
1/7/2020,10323.8,10447.05,10299.6,10430.05
2/7/2020,10493.05,10598.2,10485.55,10551.7
3/7/2020,10614.95,10631.3,10562.65,10607.35
6/7/2020,10723.85,10811.4,10695.1,10763.65
7/7/2020,10802.85,10813.8,10689.7,10799.65
8/7/2020,10818.65,10847.85,10676.55,10705.75
9/7/2020,10755.55,10836.85,10733,10813.45
10/7/2020,10764.1,10819.4,10713,10768.05
13/7/2020,10851.85,10894.05,10756.05,10802.7
14/7/2020,10750.85,10755.65,10562.9,10607.35
15/7/2020,10701,10827.45,10577.75,10618.2
16/7/2020,10706.2,10755.3,10595.2,10739.95
17/7/2020,10752,10933.45,10749.65,10901.7
20/7/2020,10999.45,11037.9,10953,11022.2
21/7/2020,11126.1,11179.55,11113.25,11162.25
22/7/2020,11231.2,11238.1,11056.55,11132.6
23/7/2020,11135,11239.8,11103.15,11215.45
24/7/2020,11149.95,11225.4,11090.3,11194.15
27/7/2020,11225,11225,11087.85,11131.8
28/7/2020,11154.1,11317.75,11151.4,11300.55
29/7/2020,11276.9,11341.4,11149.75,11202.85
30/7/2020,11254.3,11299.95,11084.95,11102.15
31/7/2020,11139.5,11150.4,11026.65,11073.45
3/8/2020,11057.55,11058.05,10882.25,10891.6
4/8/2020,10946.65,11112.25,10908.1,11095.25
5/8/2020,11155.75,11225.65,11064.05,11101.65
6/8/2020,11185.7,11256.8,11127.3,11200.15
7/8/2020,11186.65,11231.9,11142.05,11214.05
10/8/2020,11270.25,11337.3,11238,11270.15
11/8/2020,11322.25,11373.6,11299.15,11322.5
12/8/2020,11289,11322,11242.65,11308.4
13/8/2020,11334.85,11359.3,11269.95,11300.45
14/8/2020,11353.3,11366.25,11111.45,11178.4
17/8/2020,11248.9,11267.1,11144.5,11247.1
18/8/2020,11259.8,11401.7,11253.15,11385.35
19/8/2020,11452.15,11460.35,11394.1,11408.4
20/8/2020,11317.45,11361.45,11289.8,11312.2
21/8/2020,11409.65,11418.5,11362.2,11371.6
24/8/2020,11412,11497.25,11410.65,11466.45
25/8/2020,11513.1,11525.9,11423.35,11472.25
26/8/2020,11512.85,11561.75,11461.85,11549.6
27/8/2020,11609.3,11617.35,11540.6,11559.25
28/8/2020,11602.95,11686.05,11589.4,11647.6
31/8/2020,11777.55,11794.25,11325.85,11387.5
1/9/2020,11464.3,11553.55,11366.9,11470.25
2/9/2020,11478.55,11554.75,11430.4,11535
3/9/2020,11566.2,11584.95,11507.65,11527.45
4/9/2020,11566.2,11452.05,11303.65,11333.85
7/9/2020,11359.6,11381.15,11251.7,11355.05
8/9/2020,11378.55,11437.25,11290.45,11317.35
9/9/2020,11218.6,11298.15,11185.15,11278
10/9/2020,11363.3,11464.05,11327.4,11449.25
11/9/2020,11447.8,11493.5,11419.9,11464.45
